"Proposal","Votes cast","Yes","Abstain","Meets approval threshold","Requested Ada","Status","Fund depletion","Reason for not funded status"
"Cardano Dev Toolset - A Swiss Army knife for Cardano Developers","308","₳27,547,203","₳41,502,203","NO","₳144,200","NOT FUNDED","₳743","Approval Threshold"
"Cardano depin example","243","₳27,371,854","₳36,040,424","NO","₳22,000","NOT FUNDED","₳743","Approval Threshold"
"Spectrum and Teddy Swap Java Batcher","268","₳27,201,985","₳45,164,642","NO","₳105,182","NOT FUNDED","₳743","Approval Threshold"
"Eqwiip - gateway for Developers in Africa to cardano ecosystem","256","₳27,118,092","₳36,045,837","NO","₳70,000","NOT FUNDED","₳743","Approval Threshold"
"AnimationDev: Empowering Developers with Comprehensive Tools and Collaboration","231","₳25,579,411","₳52,451,093","NO","₳158,400","NOT FUNDED","₳743","Approval Threshold"
"CIP/CPS Analysis App for Data-Driven Insights","227","₳24,499,701","₳50,243,239","NO","₳95,000","NOT FUNDED","₳743","Approval Threshold"
"Cardano ADA Demand-Supply Tracking System","289","₳23,103,140","₳40,336,969","NO","₳200,000","NOT FUNDED","₳743","Approval Threshold"
"BALANCE - SvelteKit + D3 Starter Template - [Open Source]","254","₳22,269,408","₳38,588,663","NO","₳15,000","NOT FUNDED","₳743","Approval Threshold"
"cardano impact tracking hub","242","₳21,667,600","₳55,076,308","NO","₳64,000","NOT FUNDED","₳743","Approval Threshold"
"A user friendly nostr-powered communication solution for small-scale Brazilian entrepreneurs who face restrictions on offering their services within the country due to state censorship","247","₳21,536,377","₳57,289,217","NO","₳189,149","NOT FUNDED","₳743","Approval Threshold"
